站点ID,站点名称,线路编号,序号,经纬度
BV10400948,水木天成公交站,700路,1,"117.130339,39.165317"
BV10041172,西河桥,700路,2,"117.136604,39.164995"
BV10041171,秀水苑,700路,3,"117.143273,39.172578"
BV10041168,集平里,700路,4,"117.147629,39.171518"
BV10040792,洪湖里,700路,5,"117.153053,39.168633"
BV10040788,红旗地道,700路,6,"117.150845,39.160902"
BV10040478,民族中学,700路,7,"117.149203,39.1545"
BV10041546,跃进里,700路,8,"117.144073,39.154327"
BV10041259,幸福里,700路,9,"117.138626,39.151463"
BV10041926,小园,700路,10,"117.138618,39.143555"
BV10041927,天泰小区,700路,11,"117.138657,39.13905"
BV10042011,渭水道,700路,12,"117.138602,39.132895"
BV09196114,咸阳路长江道,700路,13,"117.138668,39.129275"
BV10896751,嘉陵南里,700路,14,"117.138657,39.125153"
BV11671771,城市规划设计总院,700路,15,"117.137843,39.118966"
BV10327136,保泽道,700路,16,"117.13194,39.103633"
BV11111170,新技术产业园区,700路,17,"117.124023,39.098003"
BV10041300,侯台村,700路,18,"117.118793,39.098741"
BV09250346,王顶堤馨苑,700路,19,"117.105811,39.090635"
BV10041301,农学院,700路,20,"117.100126,39.088943"
BV10041871,城建大学,700路,21,"117.095535,39.088959"
BV10041303,宝德学院,700路,22,"117.092691,39.088954"
BV10041870,华科大街,700路,23,"117.091147,39.09261"
BV10041869,海泰华科一路,700路,24,"117.086838,39.094788"
BV11293183,海泰北,700路,25,"117.081175,39.097133"
BV11293186,农行客服中心,700路,26,"117.073978,39.097854"
BV10042805,电子科技十八所,700路,27,"117.07089,39.098125"
BV10042804,高新区软件园,700路,28,"117.065109,39.095356"
BV10044962,海泰西路,700路,29,"117.065887,39.093191"
BV11293186,农行客服中心,700路,30,"117.073723,39.097524"
BV10041868,海泰北公交站,700路,31,"117.080418,39.09676"
BV10404228,跃升里公交站,639路西线支线,1,"117.117897,39.152917"
BV11075114,跃升里,639路西线支线,2,"117.117035,39.153481"
BV09265932,尊和园,639路西线支线,3,"117.116168,39.160543"
BV09265930,民康园,639路西线支线,4,"117.122747,39.161359"
BV11690696,营瑞路,639路西线支线,5,"117.122003,39.164438"
BV11690695,罗浮路,639路西线支线,6,"117.114958,39.16363"
BV10707542,国和园,639路西线支线,7,"117.113711,39.161345"
BV11075114,跃升里,639路西线支线,8,"117.116798,39.153084"
BV10404228,跃升里公交站,639路西线支线,9,"117.11778,39.152858"
BV10041110,榆关道,852路(临时),1,"117.184288,39.185203"
BV11372100,白庙,852路(临时),2,"117.17952,39.187874"
BV10040920,勤俭桥,852路(临时),3,"117.163772,39.181173"
BV10040245,勤俭道,852路(临时),4,"117.163473,39.178873"
BV10040244,丁字沽,852路(临时),5,"117.167145,39.177101"
BV10040257,西沽,852路(临时),6,"117.172536,39.171902"
BV10040243,西于庄,852路(临时),7,"117.173492,39.167244"
BV10040258,新三条石大街,852路(临时),8,"117.177448,39.15168"
BV10040553,御河湾,852路(临时),9,"117.17454,39.15309"
BV10040552,大丰西胡同,852路(临时),10,"117.169708,39.154278"
BV10041042,大丰桥,852路(临时),11,"117.168892,39.151524"
BV10041049,西马路,852路(临时),12,"117.169653,39.146532"
BV10041040,铃铛阁,852路(临时),13,"117.166988,39.146506"
BV10041606,康华里,852路(临时),14,"117.163665,39.144931"
BV10041548,西关大街,852路(临时),15,"117.163418,39.142003"
BV10041544,瑞德里,852路(临时),16,"117.163322,39.139519"
BV10042036,五十中学,852路(临时),17,"117.16316,39.136646"
BV10041660,西市大街,852路(临时),18,"117.161886,39.131937"
BV10040811,凯立家园,852路(临时),19,"117.157682,39.129657"
BV10040812,公交三公司,852路(临时),20,"117.147635,39.130599"
BV10040813,长江公寓,852路(临时),21,"117.1434,39.130603"
BV09196114,咸阳路长江道,852路(临时),22,"117.138668,39.129275"
BV10896751,嘉陵南里,852路(临时),23,"117.138657,39.125153"
BV10041533,雅安西里,852路(临时),24,"117.137216,39.122465"
BV10041534,资阳路,852路(临时),25,"117.131758,39.122508"
BV10042063,川南里,852路(临时),26,"117.12842,39.123376"
BV10041535,川府新村,852路(临时),27,"117.126085,39.124843"
BV10403498,川府新村公交站,852路(临时),28,"117.126631,39.124402"
BV10403581,金钟河大街公交站,368路,1,"117.216875,39.155037"
BV10733773,新大路,368路,2,"117.211445,39.152248"
BV11430221,新开路地道,368路,3,"117.213913,39.145027"
BV10041055,李地大街,368路,4,"117.215927,39.142773"
BV10041059,李公楼,368路,5,"117.220208,39.137826"
BV10762490,南横街,368路,6,"117.223138,39.134122"
BV11430219,唐口地道,368路,7,"117.227479,39.130418"
BV10403802,河东支队,368路,8,"117.234241,39.128348"
BV10403811,唐口南里,368路,9,"117.242122,39.125627"
BV10040748,泰兴南路,368路,10,"117.253491,39.123056"
BV11646079,泰昌路地铁站,368路,11,"117.256541,39.122111"
BV11150272,万东路地铁站,368路,12,"117.268933,39.118092"
BV11646077,沙柳南路地铁站,368路,13,"117.287015,39.117836"
BV10040835,东城家园,368路,14,"117.292417,39.117213"
BV10043937,舒畅园,368路,15,"117.294436,39.114718"
BV10043938,好美嘉园,368路,16,"117.294891,39.111408"
BV10043939,嘉春园,368路,17,"117.29895,39.110077"
BV11208800,嘉春园东门,368路,18,"117.300639,39.109253"
BV09053300,惠山道吉安路,368路,19,"117.304052,39.106355"
BV09304864,临时站,368路,20,"117.30709,39.107389"
BV10872123,归航路,368路,21,"117.308754,39.109566"
BV11131419,雅悦园,368路,22,"117.314972,39.108145"
BV10977393,秀悦园,368路,23,"117.319931,39.107037"
BV11054726,贵环小区公交站,368路,24,"117.324738,39.103024"
BV10040772,水上公园东门,668路,1,"117.174236,39.091476"
BV10044513,霞光道,668路,2,"117.173485,39.085278"
BV10044512,动物园东门,668路,3,"117.173103,39.081581"
BV10041640,体育中心北,668路,4,"117.174892,39.079274"
BV11439419,肿瘤医院地铁站,668路,5,"117.186903,39.079702"
BV10040383,宾水桥,668路,6,"117.192757,39.082031"
BV11259730,天津宾馆地铁站,668路,7,"117.197721,39.084846"
BV10040401,欧亚花园,668路,8,"117.19967,39.084408"
BV10829079,宾西楼站,668路,9,"117.202042,39.081827"
BV10041850,宾馆南道宾西楼,668路,10,"117.203766,39.081753"
BV10041530,天津博物馆,668路,11,"117.209801,39.083981"
BV10491750,文化中心图书馆,668路,12,"117.215324,39.084031"
BV10567930,光华里,668路,13,"117.218643,39.08479"
BV10041073,科技馆,668路,14,"117.219523,39.0877"
BV11430230,隆昌路滦水道,668路,15,"117.220156,39.090308"
BV11040860,南楼地铁站,668路,16,"117.223846,39.095039"
BV10041196,东楼,668路,17,"117.223305,39.100266"
BV10040801,下瓦房地铁站,668路,18,"117.223518,39.104095"
BV11109958,福建路站,668路,19,"117.225026,39.106333"
BV10041966,怡安温泉公寓,668路,20,"117.235336,39.111679"
BV10041335,大直沽三号路,668路,21,"117.238473,39.111659"
BV10041336,大直沽后台,668路,22,"117.24236,39.11256"
BV10040605,大桥道,668路,23,"117.247391,39.110099"
BV10040604,二宫,668路,24,"117.256714,39.104488"
BV11042121,中山门地铁站,668路,25,"117.263298,39.101276"
BV09053278,昆仑桥西,668路,26,"117.266655,39.099644"
BV09072872,昆仑路津塘路,668路,27,"117.274338,39.097618"
BV09161027,昆仑路耐火路,668路,28,"117.278703,39.10255"
BV10041323,昆仑里,668路,29,"117.277946,39.114338"
BV10042257,昆仑北里,668路,30,"117.274353,39.122471"
BV10042256,昆仑小区,668路,31,"117.272817,39.128483"
BV10040751,天山路,668路,32,"117.278,39.130108"
BV10041269,香山道,668路,33,"117.278709,39.13234"
BV10041270,崂山道,668路,34,"117.27766,39.136076"
BV10041272,盘山道,668路,35,"117.276162,39.141348"
BV10041445,松风西里,668路,36,"117.27523,39.144657"
BV09187780,天山北路,668路,37,"117.276672,39.146488"
BV10702469,彩丽园,668路,38,"117.287257,39.150981"
BV10525689,丽苑小区公交站,668路,39,"117.285812,39.155258"
BV10691119,天津站公交站,27路,1,"117.205966,39.135983"
BV10040416,新货场,27路,2,"117.200988,39.141503"
BV10040415,昌海公寓,27路,3,"117.204592,39.145608"
BV10040729,陈家沟,27路,4,"117.208095,39.147322"
BV09053287,金狮桥地铁站,27路,5,"117.209442,39.152652"
BV10040727,东六经路,27路,6,"117.208278,39.155339"
BV10040726,昆纬路,27路,7,"117.206498,39.15967"
BV10040683,北站,27路,8,"117.20639,39.164059"
BV10702460,北宁公园站,27路,9,"117.217145,39.166007"
BV11430082,北宁公园地铁站,27路,10,"117.221625,39.166009"
BV11424935,中山北路育红路,27路,11,"117.226341,39.166489"
BV10040688,建昌道,27路,12,"117.225816,39.168186"
BV11323236,建昌道育红路,27路,13,"117.221796,39.17088"
BV11146649,泗阳道,27路,14,"117.224989,39.174127"
BV10040691,建昌桥,27路,15,"117.22703,39.175298"
BV11319411,富瀛洲花园东门,27路,16,"117.229042,39.179447"
BV11319412,思源路地铁站,27路,17,"117.226898,39.182396"
BV10040736,红星桥,27路,18,"117.222542,39.187659"
BV09053301,宜兴南里,27路,19,"117.22194,39.18987"
BV11630005,津围路宜白路,27路,20,"117.220048,39.194657"
BV11057013,宜兴埠地铁站,27路,21,"117.217632,39.196882"
BV10041566,玉琢里,27路,22,"117.212697,39.194107"
BV10043059,民宜里,27路,23,"117.20908,39.194592"
BV11393460,三千路,27路,24,"117.203941,39.199826"
BV10403346,普祥里,27路,25,"117.201308,39.202534"
BV10040742,都市桃源公寓,27路,26,"117.199463,39.204445"
BV10040741,宸宜花园,27路,27,"117.195723,39.208815"
BV10040740,淮和园,27路,28,"117.19355,39.211362"
BV11547999,淮祥园,27路,29,"117.191591,39.213697"
BV11547998,淮兴园,27路,30,"117.189804,39.215819"
BV10040737,淮河道公交站,27路,31,"117.193198,39.219456"
BV10702454,北城街站,693路(临时),1,"117.18862,39.144258"
BV10040562,城厢东路,693路(临时),2,"117.185781,39.143242"
BV10702453,鼓楼东,693路(临时),3,"117.186096,39.140316"
BV10702448,时代广场,693路(临时),4,"117.187485,39.136868"
BV09135992,东南角地铁站,693路(临时),5,"117.190438,39.13571"
BV10040701,新华路百货大楼,693路(临时),6,"117.189955,39.132056"
BV10483865,蓉芳里,693路(临时),7,"117.186951,39.12862"
BV10483864,万全道,693路(临时),8,"117.191569,39.127266"
BV11430047,河北路哈密道,693路(临时),9,"117.195221,39.125386"
BV11430046,河北路滨江道,693路(临时),10,"117.20023,39.123251"
BV11615452,河北路崇仁里,693路(临时),11,"117.203355,39.120847"
BV10040804,湖北路,693路(临时),12,"117.20934,39.116632"
BV10040828,小营门,693路(临时),13,"117.213921,39.115551"
BV10040803,大营门,693路(临时),14,"117.218704,39.113117"
BV10403603,海河中学,693路(临时),15,"117.223595,39.111214"
BV10041185,小刘庄,693路(临时),16,"117.230173,39.102656"
BV09196117,天津医院,693路(临时),17,"117.232194,39.092714"
BV11219866,土城,693路(临时),18,"117.236786,39.08704"
BV09070941,棉四宿舍站,693路(临时),19,"117.244773,39.084861"
BV09125747,陈塘庄地铁站,693路(临时),20,"117.248149,39.083493"
BV11430092,大沽南路洞庭路,693路(临时),21,"117.253433,39.080872"
BV11029362,复兴门地铁站,693路(临时),22,"117.258016,39.078064"
BV10041206,小海地大队,693路(临时),23,"117.262283,39.072872"
BV09247250,东江道地铁站,693路(临时),24,"117.261589,39.069504"
BV11609606,珠峰商场,693路(临时),25,"117.264004,39.067452"
BV09019177,学苑路珠江道站,693路(临时),26,"117.269758,39.065044"
BV10041203,双山里,693路(临时),27,"117.265328,39.063268"
BV10041696,陵水道,693路(临时),28,"117.263351,39.061758"
BV10041746,双水道,693路(临时),29,"117.263055,39.058928"
BV10041693,三水南里,693路(临时),30,"117.260726,39.056798"
BV10041691,榆林路,693路(临时),31,"117.261424,39.054466"
BV10041460,枫林路,693路(临时),32,"117.258303,39.053546"
BV11276040,浯水道桥,693路(临时),33,"117.25324,39.050249"
BV10918253,长泰园,693路(临时),34,"117.251924,39.039156"
BV10668358,天津警备区,693路(临时),35,"117.246393,39.036055"
BV10937090,沂山路公交站,693路(临时),36,"117.240677,39.034983"
BV10043931,南车宿舍,811路,1,"117.280763,39.239005"
BV10896007,雷沃集团,811路,2,"117.279939,39.232726"
BV10043927,景祥路,811路,3,"117.266398,39.230412"
BV10043926,高新大道,811路,4,"117.259135,39.228487"
BV10403450,宜兴埠工业园管委会,811路,5,"117.25637,39.223694"
BV11499045,景远路高新大道口,811路,6,"117.24974,39.225781"
BV10043925,景观路,811路,7,"117.245148,39.226772"
BV10842306,花香漫城,811路,8,"117.235911,39.225226"
BV10041589,北辰科技园,811路,9,"117.232574,39.225674"
BV10041568,磨床厂,811路,10,"117.225734,39.222582"
BV09105229,宜和苑,811路,11,"117.223564,39.216789"
BV11520358,万达轮胎,811路,12,"117.223023,39.215306"
BV10040733,天士力,811路,13,"117.21331,39.208227"
BV11044238,万科新城,811路,14,"117.209419,39.205975"
BV11430089,宜兴埠北地铁站,811路,15,"117.204236,39.202205"
BV10403346,普祥里,811路,16,"117.201308,39.202534"
BV10040742,都市桃源公寓,811路,17,"117.199463,39.204445"
BV10040741,宸宜花园,811路,18,"117.195723,39.208815"
BV10040740,淮和园,811路,19,"117.193423,39.211509"
BV11547999,淮祥园,811路,20,"117.191591,39.213697"
BV11547998,淮兴园,811路,21,"117.189804,39.215819"
BV10040737,淮河道公交站,811路,22,"117.19307,39.219236"
BV11318549,文江东里公交站,911路(临时),1,"117.260252,39.168296"
BV10042105,春江里,911路(临时),2,"117.257952,39.16957"
BV10042102,丹江里,911路(临时),3,"117.254401,39.168207"
BV10042150,赵沽里,911路(临时),4,"117.250569,39.170751"
BV10042148,月牙河,911路(临时),5,"117.246454,39.167938"
BV11171124,月牙河地铁站,911路(临时),6,"117.245868,39.165022"
BV10040569,靖江桥,911路(临时),7,"117.24533,39.162904"
BV10401232,汇光小区,911路(临时),8,"117.244413,39.159858"
BV11038495,幸福公园地铁站,911路(临时),9,"117.244267,39.156033"
BV10041453,秀山花园,911路(临时),10,"117.238225,39.150124"
BV10040927,正义道,911路(临时),11,"117.23508,39.153426"
BV10040926,增产道,911路(临时),12,"117.234985,39.159172"
BV10040688,建昌道,911路(临时),13,"117.22308,39.169257"
BV10040925,盐坨桥,911路(临时),14,"117.213854,39.17349"
BV10040923,张兴庄,911路(临时),15,"117.206375,39.179535"
BV10040922,仓联庄,911路(临时),16,"117.200668,39.186169"
BV11372100,白庙,911路(临时),17,"117.17952,39.187874"
BV10040920,勤俭桥,911路(临时),18,"117.164038,39.181206"
BV11430093,勤俭道光荣道,911路(临时),19,"117.157372,39.174366"
BV10040792,洪湖里,911路(临时),20,"117.153053,39.168633"
BV10040788,红旗地道,911路(临时),21,"117.150845,39.160902"
BV10040949,西青道,911路(临时),22,"117.151283,39.151012"
BV09265934,小西关,911路(临时),23,"117.149713,39.147909"
BV09070063,红旗路黄河道,911路(临时),24,"117.149427,39.140664"
BV10040945,长虹公园,911路(临时),25,"117.149406,39.135159"
BV11038082,宜宾道地铁站,911路(临时),26,"117.149414,39.124542"
BV11042553,鞍山西道地铁站,911路(临时),27,"117.149385,39.114386"
BV11042131,天拖地铁站,911路(临时),28,"117.149375,39.109952"
BV10895723,天拖大楼,911路(临时),29,"117.149384,39.107483"
BV10041629,王顶堤金冠里,911路(临时),30,"117.143622,39.099216"
BV11111170,新技术产业园区,911路(临时),31,"117.124023,39.098003"
BV10041300,侯台村,911路(临时),32,"117.118793,39.098741"
BV10041987,侯台花园,911路(临时),33,"117.116271,39.103953"
BV11563896,碧岭园,911路(临时),34,"117.112268,39.106022"
BV11075870,碧水家园,911路(临时),35,"117.098933,39.105906"
BV10041633,侯台公交站,911路(临时),36,"117.091316,39.105146"
BV11430231,海光寺地铁站,675路,1,"117.177795,39.122265"
BV10040297,长江道,675路,2,"117.174599,39.125828"
BV09130088,二纬路地铁站,675路,3,"117.174769,39.129645"
BV10041321,南开二马路站,675路,4,"117.177247,39.130424"
BV10041076,南门外大街,675路,5,"117.182169,39.130134"
BV10041077,南市食品街,675路,6,"117.185646,39.134768"
BV10702453,鼓楼东,675路,7,"117.186263,39.140642"
BV10040562,城厢东路,675路,8,"117.185846,39.143429"
BV10040305,东马路,675路,9,"117.187695,39.145833"
BV10040521,望海楼,675路,10,"117.196511,39.147471"
BV10040522,十字街,675路,11,"117.20332,39.148251"
BV10040523,小树林,675路,12,"117.208859,39.15003"
BV10040412,开云大厦,675路,13,"117.220154,39.156481"
BV10040411,王串场四号路,675路,14,"117.224457,39.159595"
BV10040410,润园里,675路,15,"117.223743,39.163292"
BV11424935,中山北路育红路,675路,16,"117.226341,39.166489"
BV10040688,建昌道,675路,17,"117.225816,39.168186"
BV11323236,建昌道育红路,675路,18,"117.221796,39.17088"
BV11146649,泗阳道,675路,19,"117.225243,39.174274"
BV10040691,建昌桥,675路,20,"117.22703,39.175298"
BV11319411,富瀛洲花园东门,675路,21,"117.229042,39.179447"
BV11319412,思源路地铁站,675路,22,"117.226898,39.182396"
BV10040736,红星桥,675路,23,"117.222542,39.187659"
BV09053301,宜兴南里,675路,24,"117.22194,39.18987"
BV11630005,津围路宜白路,675路,25,"117.220048,39.194657"
BV10784614,港口医院,816路,1,"117.71803,39.002144"
BV09186858,新港二号路,816路,2,"117.713051,39.002697"
BV10400814,港滨路,816路,3,"117.707804,39.005918"
BV11007139,港滨路(三号路),816路,4,"117.706927,39.007899"
BV10041917,春阳路,816路,5,"117.701309,39.008507"
BV11007104,朝阳小学,816路,6,"117.698576,39.008817"
BV11560910,紫云中学,816路,7,"117.692721,39.009444"
BV11018405,万达广场(洞庭路),816路,8,"117.683207,39.015282"
BV11018406,滨海文化中心西门,816路,9,"117.686325,39.018535"
BV10040140,新华书店,816路,10,"117.673573,39.014845"
BV10040141,巨川金海岸,816路,11,"117.67038,39.015587"
BV09232685,解放路商业街站,816路,12,"117.667776,39.016983"
BV10040142,金元宝商厦,816路,13,"117.664415,39.019035"
BV10041395,邮电大厦,816路,14,"117.658938,39.02074"
BV10040112,政通大厦,816路,15,"117.656711,39.02123"
BV10912378,工人新村(营口道),816路,16,"117.650726,39.022608"
BV11603802,实验学校(营口道),816路,17,"117.645773,39.023668"
BV10610449,车站北路立交桥,816路,18,"117.639818,39.022604"
BV10040272,赵家地,816路,19,"117.641729,39.031611"
BV10040271,津塘公路,816路,20,"117.643898,39.033588"
BV10040270,禧顺馨园,816路,21,"117.647682,39.032715"
BV10044843,荷香园,816路,22,"117.649071,39.033511"
BV10044852,徐州里,816路,23,"117.650486,39.037287"
BV10044841,锦州道,816路,24,"117.651726,39.040627"
BV10778545,广州道小学,816路,25,"117.655548,39.040375"
BV10040201,塘沽党校,816路,26,"117.659531,39.041779"
BV10042447,莱茵春天,816路,27,"117.656341,39.044071"
BV10042448,奥林花园,816路,28,"117.654133,39.044538"
BV10044769,鸿正绿色家园,816路,29,"117.650366,39.045395"
BV10043372,漓江里,816路,30,"117.646255,39.044601"
BV10754287,湘江里(车站北路),816路,31,"117.64477,39.040556"
BV10044280,珠江小区,816路,32,"117.642196,39.038602"
BV09112051,塘沽珠江里,816路,33,"117.640762,39.038923"
BV10769251,新河庄(杭州道),816路,34,"117.63441,39.040838"
BV09268422,竹山南道公交站,48路(临时),1,"117.13783,39.175594"
BV10043882,裕国楼,48路(临时),2,"117.138988,39.180511"
BV10040790,本溪楼,48路(临时),3,"117.140394,39.182081"
BV10428896,本溪路地铁站,48路(临时),4,"117.139276,39.185582"
BV10040922,仓联庄站,48路(临时),5,"117.201416,39.184814"
BV10040923,张兴庄,48路(临时),6,"117.20623,39.179462"
BV10040925,盐坨桥站,48路(临时),7,"117.213837,39.173363"
BV10040688,建昌道站,48路(临时),8,"117.222639,39.169305"
BV10040926,增产道站,48路(临时),9,"117.234823,39.159599"
BV10040927,正义道,48路(临时),10,"117.234924,39.15329"
BV10040928,常州道站,48路(临时),11,"117.2351,39.147301"
BV10040843,卫国道站,48路(临时),12,"117.239296,39.137806"
BV10040842,向阳楼站,48路(临时),13,"117.24231,39.13451"
BV10040838,东风立交桥站,48路(临时),14,"117.245726,39.12746"
BV10040748,泰兴南路站,48路(临时),15,"117.253491,39.123056"
BV11646079,泰昌路地铁站,48路(临时),16,"117.256919,39.121977"
BV10040929,中山门二号路,48路(临时),17,"117.255105,39.110243"
BV10040953,蝶桥公寓,48路(临时),18,"117.247314,39.10363"
BV10040952,光华桥,48路(临时),19,"117.236759,39.096996"
BV10540368,新围堤道日报大厦站,48路(临时),20,"117.225995,39.093376"
BV10782605,广东路西南楼,48路(临时),21,"117.216051,39.093331"
BV10780324,越秀路,48路(临时),22,"117.213103,39.091402"
BV11027443,银河广场北,48路(临时),23,"117.203419,39.090274"
BV10885061,鑫银大厦,48路(临时),24,"117.203341,39.096661"
BV10040388,儿童医院,48路(临时),25,"117.196008,39.100138"
BV10040937,佟楼,48路(临时),26,"117.190603,39.100637"
BV11426776,吴家窑地铁站,48路(临时),27,"117.18842,39.100657"
BV11266052,复康路八里台,48路(临时),28,"117.172572,39.100502"
BV10040940,手表厂,48路(临时),29,"117.161519,39.099783"
BV10983829,天津图书馆,48路(临时),30,"117.157229,39.099613"
BV09053275,一中心医院地铁站,48路(临时),31,"117.149529,39.104542"
BV11042553,鞍山西道地铁站,48路(临时),32,"117.149534,39.114566"
BV11038082,宜宾道地铁站,48路(临时),33,"117.149536,39.124457"
BV10040945,长虹公园,48路(临时),34,"117.149539,39.13507"
BV09070063,红旗路黄河道,48路(临时),35,"117.149562,39.139284"
BV09265934,小西关,48路(临时),36,"117.149818,39.147049"
BV10040949,西青道,48路(临时),37,"117.151452,39.150984"
BV10040788,红旗地道,48路(临时),38,"117.150977,39.161068"
BV10040792,洪湖里,48路(临时),39,"117.153289,39.168644"
BV11430093,勤俭道光荣道,48路(临时),40,"117.157516,39.174343"
BV09251724,勤俭道地铁站,48路(临时),41,"117.156509,39.176929"
BV10983071,七零七所大楼站,48路(临时),42,"117.15007,39.18034"
BV10044899,宁城楼,48路(临时),43,"117.143082,39.18375"
BV10040790,本溪楼,48路(临时),44,"117.140824,39.182728"
BV10043882,裕国楼,48路(临时),45,"117.139083,39.180691"
BV09268422,竹山南道公交站,48路(临时),46,"117.137867,39.175584"
BV10042314,滨海客运总站,520路,1,"117.61382,39.033373"
BV10040134,红光家园,520路,2,"117.617951,39.033193"
BV10040137,新河船厂,520路,3,"117.633333,39.029092"
BV10040122,滨海龙都小区,520路,4,"117.638889,39.027335"
BV10751498,塘沽火车站(大连道),520路,5,"117.643272,39.025787"
BV10448514,塘沽检察院,520路,6,"117.650831,39.024086"
BV09149581,大连道(山东路),520路,7,"117.656128,39.022913"
BV10448516,民安里,520路,8,"117.664177,39.022095"
BV10042636,泰达会馆,520路,9,"117.687424,39.029106"
BV11203100,二大街泰达会馆,520路,10,"117.686901,39.032378"
BV10041008,总公司大楼,520路,11,"117.682548,39.033112"
BV10463703,洞庭路第四大街,520路,12,"117.685916,39.046905"
BV10463706,洞庭路第六大街,520路,13,"117.688155,39.053381"
BV10463710,洞庭路第七大街,520路,14,"117.68901,39.055881"
BV10041396,劲量电池,520路,15,"117.698915,39.060356"
BV10041397,富士通天,520路,16,"117.701428,39.06622"
BV10463709,金耀集团,520路,17,"117.70393,39.070745"
BV10041399,丰田模具,520路,18,"117.706226,39.07441"
BV10337832,滨海新区公交公司,520路,19,"117.717484,39.076241"
BV10463702,南海路第十三大街,520路,20,"117.722908,39.080463"
BV10963407,尚德园,520路,21,"117.727127,39.086894"
BV11630419,滨海新区中医院,520路,22,"117.726791,39.093058"
BV10963406,北塘文体中心,520路,23,"117.723735,39.096032"
BV11044919,融公馆,520路,24,"117.715965,39.097462"
BV10978144,北塘社区服务中心,520路,25,"117.709961,39.098572"
BV10421143,荣晟广场,520路,26,"117.70472,39.100178"
BV10337835,天池路馨宇家园,520路,27,"117.706612,39.106342"
BV11066192,泰达御海,520路,28,"117.703922,39.113784"
BV11066191,欣悦学府,520路,29,"117.704401,39.116281"
BV11066194,水岸花园,520路,30,"117.705663,39.120472"
BV11066195,德州道,520路,31,"117.71714,39.114769"
BV11066193,常州道,520路,32,"117.71418,39.10981"
BV10040179,北塘古镇,520路,33,"117.717224,39.106724"
BV10044778,北塘公交站,520路,34,"117.719536,39.103886"
BV11186078,国山路地铁站,339路,1,"117.30684,39.153546"
BV11401809,明珠花园公交站,339路,2,"117.306855,39.150713"
BV10040759,昆俞路,339路,3,"117.301757,39.149955"
BV09133618,登州路程环道,339路,4,"117.29897,39.148887"
BV09053288,登州路崂山道,339路,5,"117.300495,39.145326"
BV10934584,康泽家园,339路,6,"117.307778,39.146007"
BV10934583,新新制药厂,339路,7,"117.311127,39.146873"
BV10403953,惠泽嘉园,339路,8,"117.313873,39.147587"
BV10925159,惠泽沁园,339路,9,"117.31529,39.145359"
BV11186077,蔚秀花园,339路,10,"117.317122,39.140612"
BV10925160,好新家园,339路,11,"117.315595,39.139319"
BV10925161,香邑花园,339路,12,"117.308207,39.137461"
BV10040755,程林二村,339路,13,"117.302092,39.135929"
BV09053283,成林道程发路,339路,14,"117.298668,39.135036"
BV11392820,杨台,339路,15,"117.291252,39.133129"
BV11392819,万新村南,339路,16,"117.284266,39.131322"
BV11392821,武警特色医学中心,339路,17,"117.281337,39.130629"
BV10041269,香山道,339路,18,"117.278701,39.132366"
BV10041270,崂山道,339路,19,"117.27765,39.136114"
BV10403342,万新村北公交站,339路,20,"117.27616,39.141353"
BV10622921,雲锦世家公交站,686路,1,"117.073811,39.115951"
BV11673403,万源路,686路,2,"117.081463,39.115725"
BV11673404,万卉路,686路,3,"117.085929,39.115711"
BV10041379,福姜路,686路,4,"117.102377,39.126807"
BV10041593,东姜井,686路,5,"117.107407,39.130714"
BV10041366,李家园,686路,6,"117.114939,39.136944"
BV11027444,津华西大街,686路,7,"117.119431,39.140636"
BV10041369,宜君里,686路,8,"117.123095,39.143678"
BV10041370,芥园里,686路,9,"117.13179,39.145191"
BV10041371,安泽里,686路,10,"117.13591,39.145187"
BV10041926,小园,686路,11,"117.138618,39.143555"
BV11455847,黄河道咸阳路站,686路,12,"117.13997,39.137713"
BV10042871,临潼路,686路,13,"117.145439,39.137726"
BV10040945,长虹公园站,686路,14,"117.149406,39.135159"
BV10040811,凯立家园站,686路,15,"117.158295,39.129318"
BV10041710,兴业家园,686路,16,"117.15717,39.124786"
BV10041709,飞云道,686路,17,"117.155105,39.121868"
BV10041708,风荷园,686路,18,"117.157001,39.120095"
BV10041237,南丰里站,686路,19,"117.161354,39.118896"
BV10041997,灵峰里站,686路,20,"117.166397,39.11869"
BV10041292,红磡公寓站,686路,21,"117.170059,39.118324"
BV10041998,师北里站,686路,22,"117.177841,39.117622"
BV11296187,六里台站,686路,23,"117.179657,39.11628"
BV10664928,七里台站,686路,24,"117.179558,39.111968"
BV10664927,八里台站,686路,25,"117.179427,39.10582"
BV10599331,天塔地铁站,686路,26,"117.177574,39.095872"
BV10041360,水上公园站,686路,27,"117.175522,39.092435"
BV11027442,天塔南,686路,28,"117.181273,39.089309"
BV10041174,气象南里,686路,29,"117.185028,39.088716"
BV10041165,华夏未来,686路,30,"117.185391,39.085272"
BV10041164,体院北,686路,31,"117.188233,39.081057"
BV10040383,宾水桥,686路,32,"117.192757,39.082031"
BV10040403,紫桂苑,686路,33,"117.196373,39.080467"
BV10041178,西园西里,686路,34,"117.201402,39.08069"
BV10041850,宾馆南道宾西楼,686路,35,"117.203766,39.081753"
BV10041530,天津博物馆,686路,36,"117.209801,39.083981"
BV10491750,文化中心图书馆,686路,37,"117.215324,39.084031"
BV09072535,医大二院,686路,38,"117.221466,39.084141"
BV11156772,医大二院地铁站,686路,39,"117.223977,39.082355"
BV11154470,平江南里,686路,40,"117.223283,39.079637"
