车站ID,名称,路线,序号,经度,纬度
BV10040679,兴安路南市,837路,6,117.191641,39.136086
BV10702448,时代广场,837路,7,117.187492,39.136974
BV11211763,南门,837路,8,117.183113,39.137096
BV09247246,西南角地铁站,837路,9,117.174527,39.137392
BV10040300,南马路,837路,10,117.17203,39.14037
BV10041049,西马路,837路,11,117.169653,39.146532
BV10041040,铃铛阁,837路,12,117.166988,39.146506
BV10041050,复兴路,837路,13,117.162285,39.146576
BV10403859,吕祖堂,837路,14,117.157944,39.146812
BV11439315,芥园道怡德路,837路,15,117.151997,39.146493
BV09265934,小西关,837路,16,117.149818,39.147049
BV10040949,西青道,837路,17,117.151452,39.150984
BV10040478,民族中学,837路,18,117.149239,39.154503
BV10041546,跃进里,837路,19,117.144073,39.154327
BV10041195,千禧园,837路,20,117.138756,39.155041
BV10041180,阁林园,837路,21,117.13839,39.160972
BV10041258,绮水苑,837路,22,117.142984,39.175082
BV10040919,咸阳北路,837路,23,117.142975,39.178513
BV09186615,红桥中医院,837路,24,117.136258,39.181274
BV10041329,千里堤翠溪园,837路,25,117.13427,39.182625
BV10404134,佳庆道,837路,26,117.1379,39.191318
BV10404097,佳宁道,837路,27,117.135117,39.195148
BV10403803,辰兴路佳宁道,837路,28,117.132201,39.198251
BV10045023,双环村公交站,837路,29,117.132917,39.199948
BV11054726,贵环小区公交站,840路,1,117.324814,39.103827
BV09204297,汇航路方山道,840路,2,117.321732,39.108769
BV09053298,跃进北路地铁站,840路,3,117.31799,39.11396
BV10872123,归航路,840路,4,117.308885,39.109623
BV11208800,嘉春园东门,840路,5,117.300639,39.109253
BV10451797,怡然庭院,840路,6,117.300942,39.098472
BV11116006,詹庄子,840路,7,117.304171,39.092765
BV09118846,张贵庄地铁站,840路,8,117.307456,39.09206
BV10964043,詹滨里,840路,9,117.310913,39.086868
BV09273491,海康园西门,840路,10,117.30699,39.083672
BV09196116,招远路地铁站,840路,11,117.313095,39.081988
BV09223992,栖霞道,840路,12,117.315056,39.087713
BV11054726,贵环小区公交站,840路,13,117.324788,39.103567
BV10041596,中北公交站,841路,1,117.060608,39.122543
BV10041975,中北斜村委会,841路,2,117.067668,39.121753
BV10041594,华亭国际,841路,3,117.073018,39.122415
BV10041376,假日风景,841路,4,117.079497,39.125266
BV10041377,大地十二城,841路,5,117.083241,39.125457
BV10041974,金厦水语,841路,6,117.086541,39.125472
BV10041364,溪秀苑,841路,7,117.096035,39.125518
BV10041379,福姜路,841路,8,117.102377,39.126807
BV10041593,东姜井,841路,9,117.107407,39.130714
BV10041366,李家园,841路,10,117.114939,39.136944
BV11027444,津华西大街,841路,11,117.119431,39.140636
BV10041369,宜君里,841路,12,117.123095,39.143678
BV10041370,芥园里,841路,13,117.13179,39.145191
BV10041371,安泽里,841路,14,117.13591,39.145187
BV10041260,雅园里,841路,15,117.142334,39.145519
BV10041261,人民医院,841路,16,117.146326,39.1459
BV09070063,红旗路黄河道,841路,17,117.149427,39.140664
BV11427478,长虹公园地铁站,841路,18,117.151831,39.13769
BV10041380,黄河道桥,841路,19,117.156506,39.137661
BV09011927,广开四马路地铁站,841路,20,117.161602,39.137623
BV10042036,五十中学,841路,21,117.16316,39.136646
BV10041972,广开四马路,841路,22,117.163681,39.132488
BV09196113,南开公园,841路,23,117.168744,39.13142
BV10041970,南开五马路,841路,24,117.171074,39.130836
BV10041321,南开二马路,841路,25,117.177247,39.130424
BV10041076,南门外大街,841路,26,117.182169,39.130134
BV10040421,荣业大街,841路,27,117.185766,39.129883
BV10040419,百货大楼,841路,28,117.190587,39.131188
BV10040432,民主道,841路,29,117.198249,39.137328
BV10040416,新货场,841路,30,117.200927,39.1414
BV10040415,昌海公寓,841路,31,117.204592,39.145608
BV10040729,陈家沟,841路,32,117.208095,39.147322
BV10733773,新大路,841路,33,117.211191,39.151698
BV11427479,明溪里,841路,34,117.220898,39.151697
BV10040847,莹津里,841路,35,117.223942,39.148746
BV10041441,王串场三号路,841路,36,117.227674,39.149171
BV10041442,王串场六号路,841路,37,117.231081,39.149978
BV10041453,秀山花园,841路,38,117.23769,39.150065
BV10041448,玉山里,841路,39,117.241623,39.150012
BV10041449,乐东南里,841路,40,117.247587,39.149648
BV10041450,临营西里,841路,41,117.252326,39.149683
BV11249195,大众家园公交站,841路,42,117.258451,39.150039
BV10550080,高铁滨海站,844路,1,117.68367,39.00544
BV10041915,公安街,844路,2,117.680153,39.009106
BV10040115,东大街,844路,3,117.669375,39.014336
BV10751098,塘沽外滩公园(和平路),844路,4,117.665346,39.015861
BV10040142,金元宝商厦,844路,5,117.664415,39.019035
BV11560909,塘沽一中,844路,6,117.661392,39.019342
BV10044859,海图出版社,844路,7,117.658242,39.019666
BV11001598,丹东里,844路,8,117.656764,39.019732
BV10403912,安太里,844路,9,117.655926,39.017515
BV10403917,永康里,844路,10,117.654296,39.016905
BV10601914,美晨家园,844路,11,117.651237,39.017589
BV10040149,浙江路小学,844路,12,117.650085,39.019585
BV10746640,工人新村(上海道),844路,13,117.644142,39.020901
BV10610449,车站北路立交桥,844路,14,117.639818,39.022604
BV10040272,赵家地,844路,15,117.641729,39.031611
BV10043374,众智园,844路,16,117.643422,39.036422
BV10044279,妇幼医院,844路,17,117.647535,39.037266
BV10044852,徐州里,844路,18,117.650486,39.037287
BV10044841,锦州道,844路,19,117.651726,39.040627
BV10778545,广州道小学,844路,20,117.655548,39.040375
BV10040201,塘沽党校,844路,21,117.659531,39.041779
BV10044216,中心北里,844路,22,117.660759,39.043018
BV11361764,康乐园(北),844路,23,117.664821,39.043077
BV10040177,宝山道,844路,24,117.660687,39.053234
BV10040176,贻正嘉合,844路,25,117.660316,39.058517
BV10044725,塘沽第一职专,844路,26,117.659373,39.065292
BV10044768,金达热力公司,844路,27,117.654711,39.066525
BV10041895,融科贻锦台,844路,28,117.649976,39.06595
BV11207324,融科贻锦台西门,844路,29,117.648484,39.064277
BV11034588,上北新新家园东门,844路,30,117.648311,39.060755
BV11118897,尧山道,844路,31,117.645039,39.058477
BV10581119,威海路,844路,32,117.639067,39.058008
BV10660083,中建滨海壹号,844路,33,117.635903,39.060647
BV10041889,创意产业园,844路,34,117.632153,39.065438
BV11043892,国际企业大道,844路,35,117.622656,39.06704
BV11676978,金海湖站,844路,36,117.615977,39.068173
BV09078372,TCL中环滨海产业园,844路,37,117.590394,39.07311
BV10970297,王顶堤商贸城公交站,845路,1,117.104444,39.096033
BV10041301,农学院,845路,2,117.100091,39.088945
BV10041871,城建大学,845路,3,117.095383,39.088959
BV10041303,宝德学院,845路,4,117.092691,39.088954
BV10044014,橡胶研究所,845路,5,117.091141,39.097049
BV10975286,侯台,845路,6,117.092757,39.105108
BV11075870,碧水家园站,845路,7,117.099065,39.105821
BV11563896,碧岭园,845路,8,117.112062,39.105959
BV10041987,侯台花园,845路,9,117.116157,39.102566
BV10041300,侯台村,845路,10,117.116988,39.098534
BV11111170,新技术产业园区,845路,11,117.124683,39.097522
BV10041629,王顶堤金冠里,845路,12,117.142473,39.098721
BV10983829,天津图书馆,845路,13,117.157829,39.099529
BV10041354,周邓纪念馆,845路,14,117.164282,39.09558
BV11266052,复康路八里台,845路,15,117.173432,39.100436
BV11426776,吴家窑地铁站,845路,16,117.190087,39.10049
BV10040937,佟楼,845路,17,117.191292,39.100483
BV10041744,天和医院,845路,18,117.195717,39.102734
BV10041864,体育馆,845路,19,117.195557,39.108231
BV10041866,桂林路,845路,20,117.198664,39.111448
BV10041867,黄家花园,845路,21,117.202629,39.114479
BV11430240,新华路烟台道,845路,22,117.206768,39.119266
BV09177576,新华路唐山道,845路,23,117.205378,39.121654
BV11200126,天河城公交站,845路,24,117.204657,39.12689
BV11057012,梅江会展中心地铁站,848路,1,117.217652,39.044544
BV10041732,汐岸国际,848路,2,117.217627,39.038489
BV10041951,洛卡小镇,848路,3,117.217734,39.031272
BV11186802,民和道,848路,4,117.213455,39.023772
BV11186800,建福园,848路,5,117.208641,39.023715
BV11186799,保税仓,848路,6,117.208863,39.01849
BV11186801,兴华七支路,848路,7,117.214729,39.017693
BV10041949,兴华五支路,848路,8,117.224792,39.017934
BV10041948,兴华四支路,848路,9,117.229309,39.018044
BV10041947,兴华二支路,848路,10,117.234879,39.018177
BV11432553,惠友道,848路,11,117.235464,39.014253
BV11416715,宏源道,848路,12,117.236975,39.010525
BV11432552,鑫源道,848路,13,117.238481,39.007448
BV10876774,西青开发区赛达园,848路,14,117.231727,39.004306
BV10844810,金雄集团,848路,15,117.228624,39.003303
BV10041941,亲亲家园,848路,16,117.223941,39.006571
BV10041940,金峰路,848路,17,117.219627,39.008069
BV11632131,龙泉道,848路,18,117.215295,39.010994
BV10403897,泉集北里,848路,19,117.212904,39.010681
BV10041884,泉集里,848路,20,117.21056,39.010286
BV11382423,泉集南里,848路,21,117.210165,39.006953
BV10673887,金龙鑫苑,848路,22,117.213264,39.004392
BV11382425,鑫苑花园,848路,23,117.216246,39.004128
BV11382424,峰山药王庙公园,848路,24,117.216706,39.002001
BV09010016,王村,848路,25,117.216263,38.99898
BV10042333,峰山药王庙,848路,26,117.218539,38.99551
BV10041933,渤海天易园,848路,27,117.225109,38.995534
BV10041932,芦北路,848路,28,117.229408,38.991373
BV11595139,天津新能源基地公交站,850路,1,117.17319,39.252144
BV10843404,蓝玺冷链物流,850路,2,117.176697,39.243549
BV10404000,交管北辰支队,850路,3,117.170853,39.240932
BV10042017,铁东路地道,850路,4,117.163422,39.237621
BV09196118,北辰道辰庆路,850路,5,117.151794,39.23241
BV11602754,北辰道朝阳路,850路,6,117.147925,39.23068
BV10042015,都旺新城,850路,7,117.141895,39.228006
BV10042014,果园北道,850路,8,117.141293,39.224761
BV10042020,东升里,850路,9,117.140747,39.222096
BV10650202,北仓,850路,10,117.133476,39.219541
BV11480626,北仓礼堂,850路,11,117.137348,39.215165
BV11049625,马庄,850路,12,117.140243,39.211342
BV10040250,华润万家北辰店,850路,13,117.150063,39.200409
BV10040249,天穆村,850路,14,117.155475,39.195091
BV11151858,凤城楼,850路,15,117.148407,39.182392
BV10041257,同心楼,850路,16,117.146088,39.179466
BV10041258,绮水苑,850路,17,117.142799,39.175069
BV10041180,阁林园,850路,18,117.138123,39.162872
BV10041195,千禧园,850路,19,117.138506,39.155151
BV10041259,幸福里,850路,20,117.138626,39.151463
BV10041926,小园,850路,21,117.138618,39.143555
BV10041927,天泰小区,850路,22,117.138657,39.13905
BV10042011,渭水道,850路,23,117.138676,39.132878
BV09196114,咸阳路长江道,850路,24,117.138668,39.129275
BV10896751,嘉陵南里,850路,25,117.138657,39.125153
BV10042021,通江路,850路,26,117.141502,39.122414
BV10042022,泊江东里,850路,27,117.147583,39.122379
BV11042553,鞍山西道地铁站,850路,28,117.149384,39.114258
BV11042131,天拖地铁站,850路,29,117.149375,39.109952
BV09053275,一中心医院地铁站,850路,30,117.149407,39.104621
BV09196111,王顶堤立交桥南,850路,31,117.149382,39.094557
BV09053274,红旗南路地铁站,850路,32,117.147544,39.09276
BV09247247,王顶堤地铁站,850路,33,117.141341,39.092817
BV10041657,久华里,850路,34,117.134019,39.08974
BV10041704,绮华里,850路,35,117.133281,39.085521
BV10041282,华苑雅士道,850路,36,117.134483,39.082172
BV10041283,雅士道长华里,850路,37,117.138741,39.082977
BV10041284,莹华里,850路,38,117.141075,39.081478
BV10042018,华苑东路,850路,39,117.142145,39.078995
BV10976963,华苑天华里,850路,40,117.136695,39.080782
BV10041596,中北公交站,851路,1,117.061705,39.120481
BV10041975,中北斜村委会,851路,2,117.067765,39.121706
BV10041594,华亭国际,851路,3,117.073144,39.122381
BV10041376,假日风景,851路,4,117.079548,39.125176
BV10041377,大地十二城,851路,5,117.083241,39.125457
BV10041974,金厦水语,851路,6,117.086541,39.125472
BV10041364,溪秀苑,851路,7,117.095874,39.125518
BV10041379,福姜路,851路,8,117.102377,39.126807
BV10041593,东姜井,851路,9,117.107407,39.130714
BV10041366,李家园,851路,10,117.114939,39.136944
BV11027444,津华西大街,851路,11,117.119431,39.140636
BV10042081,华智里,851路,12,117.122086,39.140892
BV10040817,昔阳里,851路,13,117.126328,39.132301
BV10041536,田川里,851路,14,117.126322,39.128638
BV10041535,川府新村,851路,15,117.126623,39.124408
BV10041534,资阳路,851路,16,117.131419,39.122545
BV10041533,雅安西里,851路,17,117.136297,39.122416
BV10042021,通江路,851路,18,117.141502,39.122414
BV10042022,泊江东里,851路,19,117.147583,39.122379
BV10041043,西湖道,851路,20,117.149412,39.120201
BV10041235,卧龙里,851路,21,117.154236,39.11622
BV10041249,龙井里,851路,22,117.16709,39.114385
BV10041241,西湖村,851路,23,117.170338,39.114404
BV10041242,天大宿舍,851路,24,117.17422,39.114335
BV10041357,六里台桥,851路,25,117.18122,39.114978
BV10040425,总医院,851路,26,117.186218,39.119019
BV11038528,鞍山道地铁站,851路,27,117.188456,39.120183
BV10040806,滨江道,851路,28,117.195404,39.119194
BV11430229,山西路崇仁里,851路,29,117.202332,39.118988
BV11430220,营口道山东路,851路,30,117.203447,39.122463
BV10040665,中心公园,851路,31,117.205048,39.124262
BV10041110,榆关道,852路(临时),1,117.184288,39.185203
BV11372100,白庙,852路(临时),2,117.17952,39.187874
BV10040920,勤俭桥,852路(临时),3,117.163772,39.181173
BV10040245,勤俭道,852路(临时),4,117.163473,39.178873
BV10040244,丁字沽,852路(临时),5,117.167145,39.177101
BV10040257,西沽,852路(临时),6,117.172536,39.171902
BV10040243,西于庄,852路(临时),7,117.173492,39.167244
BV10040258,新三条石大街,852路(临时),8,117.177448,39.15168
BV10040553,御河湾,852路(临时),9,117.17454,39.15309
BV10040552,大丰西胡同,852路(临时),10,117.169708,39.154278
BV10041042,大丰桥,852路(临时),11,117.168892,39.151524
BV10041049,西马路,852路(临时),12,117.169653,39.146532
BV10041040,铃铛阁,852路(临时),13,117.166988,39.146506
BV10041606,康华里,852路(临时),14,117.163665,39.144931
BV10041548,西关大街,852路(临时),15,117.163418,39.142003
BV10041544,瑞德里,852路(临时),16,117.163322,39.139519
BV10042036,五十中学,852路(临时),17,117.16316,39.136646
BV10041660,西市大街,852路(临时),18,117.161886,39.131937
BV10040811,凯立家园,852路(临时),19,117.157682,39.129657
BV10040812,公交三公司,852路(临时),20,117.147635,39.130599
BV10040813,长江公寓,852路(临时),21,117.1434,39.130603
BV09196114,咸阳路长江道,852路(临时),22,117.138668,39.129275
BV10896751,嘉陵南里,852路(临时),23,117.138657,39.125153
BV10041533,雅安西里,852路(临时),24,117.137216,39.122465
BV10041534,资阳路,852路(临时),25,117.131758,39.122508
BV10042063,川南里,852路(临时),26,117.12842,39.123376
BV10041535,川府新村,852路(临时),27,117.126085,39.124843
BV10403498,川府新村公交站,852路(临时),28,117.126631,39.124402
BV10400948,水木天成公交站,856路,1,117.13034,39.165312
BV10041172,西河桥,856路,2,117.136604,39.164995
BV10041180,阁林园,856路,3,117.138123,39.162872
BV10041195,千禧园,856路,4,117.138506,39.155151
BV10041259,幸福里,856路,5,117.138626,39.151463
BV10041260,雅园里,856路,6,117.142334,39.145519
BV10041261,人民医院,856路,7,117.146326,39.1459
BV11439315,芥园道怡德路,856路,8,117.153526,39.146393
BV10403859,吕祖堂,856路,9,117.157242,39.14677
BV10041050,复兴路,856路,10,117.16245,39.146471
BV10041040,铃铛阁,856路,11,117.16671,39.1464
BV10041049,西马路,856路,12,117.169896,39.146445
BV10040303,中研院附属医院,856路,13,117.17408,39.146286
BV09271087,北门,856路,14,117.183338,39.14599
BV10040305,东马路,856路,15,117.187695,39.145833
BV10040521,望海楼,856路,16,117.196511,39.147471
BV10040522,十字街站,856路,17,117.20332,39.148251
BV10040523,小树林,856路,18,117.208859,39.15003
BV10041055,李地大街,856路,19,117.215927,39.142773
BV10041059,李公楼,856路,20,117.220208,39.137826
BV10762490,南横街,856路,21,117.223138,39.134122
BV11430219,唐口地道,856路,22,117.227479,39.130418
BV10522097,天津七中,856路,23,117.239983,39.129978
BV10040838,东风立交桥站,856路,24,117.245726,39.12746
BV10040606,河东体育场站,856路,25,117.241838,39.114445
BV10040605,大桥道,856路,26,117.247391,39.110099
BV10040604,二宫,856路,27,117.256714,39.104488
BV11042121,中山门地铁站,856路,28,117.263298,39.101276
BV09053278,昆仑桥西,856路,29,117.266655,39.099644
BV11040906,一号桥地铁站,856路,30,117.281427,39.096043
BV09093065,变电所路,856路,31,117.287964,39.095715
BV11040904,二号桥地铁站,856路,32,117.293279,39.095058
BV11116006,詹庄子,856路,33,117.304171,39.092765
BV09118846,张贵庄地铁站,856路,34,117.307456,39.09206
BV10040593,跃进路,856路,35,117.314377,39.090626
BV10844374,张贵庄,856路,36,117.328384,39.087654
BV11058542,新立地铁站,856路,37,117.334381,39.086395
BV11406245,丰年村,856路,38,117.338246,39.085574
BV10040662,驯海路,856路,39,117.341919,39.084583
BV09039046,东丽新业广场,856路,40,117.357563,39.079554
BV09088121,新桂路智达道,856路,41,117.361449,39.080587
BV09061839,兰雅苑,856路,42,117.362632,39.084517
BV10982807,格兰苑,856路,43,117.360383,39.085032
BV11266644,东丽开发区地铁公交站,856路,44,117.357734,39.081068
BV10042035,阳光100公交站,857路,1,117.155004,39.065998
BV11580048,阳光100,857路,2,117.149319,39.071852
BV10041286,观园公寓,857路,3,117.149702,39.082238
BV11046281,迎风道地铁站,857路,4,117.14959,39.086048
BV09060536,红旗南路园荫道,857路,5,117.149605,39.09047
BV09196111,王顶堤立交桥南,857路,6,117.149597,39.094311
BV10041310,嘉泰花园,857路,7,117.153335,39.09728
BV10041311,凯祥花园,857路,8,117.161502,39.097305
BV10041354,周邓纪念馆,857路,9,117.164282,39.09558
BV10041356,水上村,857路,10,117.171953,39.095725
BV10040772,水上公园东门,857路,11,117.17408,39.091476
BV10040773,宁乐里,857路,12,117.176076,39.088819
BV11027442,天塔南,857路,13,117.181273,39.089309
BV10041174,气象南里,857路,14,117.185028,39.088716
BV10041165,华夏未来,857路,15,117.185391,39.085272
BV10041164,体院北,857路,16,117.188233,39.081057
BV10040383,宾水桥,857路,17,117.192757,39.082031
BV11259730,天津宾馆地铁站,857路,18,117.197897,39.084942
BV11041072,文化中心地铁站,857路,19,117.2065,39.089656
BV10780324,越秀路,857路,20,117.212611,39.091255
BV10782605,广东路西南楼,857路,21,117.216267,39.092856
BV10540368,新围堤道日报大厦,857路,22,117.225812,39.093212
BV10040952,光华桥,857路,23,117.236557,39.096737
BV10040953,蝶桥公寓,857路,24,117.247292,39.103432
BV10040604,二宫,857路,25,117.256714,39.104488
BV11042121,中山门地铁站,857路,26,117.263298,39.101276
BV09053278,昆仑桥西,857路,27,117.266655,39.099644
BV11040906,一号桥地铁站,857路,28,117.281427,39.096043
BV09093065,变电所路,857路,29,117.287964,39.095715
BV11040904,二号桥地铁站,857路,30,117.293288,39.095056
BV11116006,詹庄子,857路,31,117.304171,39.092765
BV09118846,张贵庄地铁站,857路,32,117.307456,39.09206
BV10040593,跃进路,857路,33,117.314377,39.090626
BV10045030,张贵庄公交站,857路,34,117.327254,39.087533
BV10403542,浯水道公交站,859路,1,117.260826,39.049698
BV10041486,榆林路桂江里,859路,2,117.262179,39.05191
BV10041459,泗水道桂江里,859路,3,117.262451,39.053684
BV10041458,泗水道贵山里,859路,4,117.267258,39.054215
BV10041207,玉峰花园,859路,5,117.269238,39.055321
BV10041205,珠峰里,859路,6,117.268341,39.058399
BV11035200,财经大学地铁站,859路,7,117.274544,39.063671
BV10041603,长湖路,859路,8,117.280829,39.064056
BV10041602,雅致里,859路,9,117.284397,39.066
BV10040441,灰堆南,859路,10,117.283824,39.068746
BV10040440,灰堆,859路,11,117.277309,39.071393
BV09196626,学苑北路地铁站,859路,12,117.271836,39.073147
BV10040438,柳苑公寓,859路,13,117.265152,39.074745
BV11029362,复兴门地铁站,859路,14,117.259813,39.077765
BV11430092,大沽南路洞庭路,859路,15,117.253825,39.081362
BV09070941,棉四宿舍,859路,16,117.244446,39.085144
BV11219866,土城,859路,17,117.235431,39.087787
BV11430048,土城地铁站,859路,18,117.229751,39.090557
BV10537863,大沽南路日报大厦,859路,19,117.226298,39.092257
BV10782605,广东路西南楼,859路,20,117.216051,39.093331
BV10780324,越秀路,859路,21,117.213103,39.091402
BV11041072,文化中心地铁站,859路,22,117.206936,39.090026
BV11259730,天津宾馆地铁站,859路,23,117.198051,39.08511
BV10040383,宾水桥,859路,24,117.192145,39.081776
BV10041164,体院北,859路,25,117.188336,39.080985
BV10041165,华夏未来,859路,26,117.18603,39.084494
BV10041174,气象南里,859路,27,117.185057,39.0892
BV11027442,天塔南,859路,28,117.181563,39.08938
BV10041360,水上公园,859路,29,117.175671,39.092654
BV10599331,天塔地铁站,859路,30,117.176923,39.09579
BV10664927,八里台站,859路,31,117.179531,39.105469
BV10664928,七里台,859路,32,117.179794,39.110481
BV10041242,天大宿舍,859路,33,117.173548,39.114486
BV10041241,西湖村,859路,34,117.170851,39.114484
BV10041249,龙井里,859路,35,117.167027,39.114484
BV10041236,世通大厦,859路,36,117.159089,39.117023
BV10042002,南开文化宫,859路,37,117.160374,39.120833
BV10042003,二十五中学,859路,38,117.162811,39.125072
BV10041660,西市大街,859路,39,117.161546,39.130106
BV10042036,五十中学站,859路,40,117.163253,39.136436
BV10041548,西关大街,859路,41,117.163559,39.14222
BV10041606,康华里,859路,42,117.163727,39.144524
BV10977353,井冈山桥,859路,43,117.160873,39.150506
BV11268625,西站南广场东,859路,44,117.165405,39.153809
BV10040552,大丰西胡同,859路,45,117.169357,39.154274
BV10040553,御河湾,859路,46,117.173325,39.153737
BV10040554,运河北路,859路,47,117.176784,39.149737
BV10040555,河北大街,859路,48,117.17878,39.149075
BV10040259,三条石,859路,49,117.179733,39.153164
BV10040243,西于庄,859路,50,117.173867,39.166571
BV10040257,西沽,859路,51,117.172201,39.173694
BV10040244,丁字沽,859路,52,117.167179,39.177205
BV10040247,丁字沽四段,859路,53,117.160078,39.180625
BV10040248,丁字沽八段,859路,54,117.155396,39.182869
BV11151857,丁字沽十三段,859路,55,117.14949,39.185707
BV10044831,本溪路公交站,859路,56,117.144641,39.187267
BV10044831,本溪路公交站,860路,1,117.145798,39.187363
BV11151857,丁字沽十三段,860路,2,117.152649,39.184067
BV10040248,丁字沽八段,860路,3,117.154945,39.182968
BV10040247,丁字沽四段,860路,4,117.160629,39.18021
BV10040245,勤俭道,860路,5,117.163473,39.178873
BV10040244,丁字沽,860路,6,117.167145,39.177101
BV11060464,风光里,860路,7,117.168687,39.174289
BV11069475,大同门,860路,8,117.161115,39.171944
BV11069476,风屏公寓,860路,9,117.158249,39.172832
BV10040792,洪湖里,860路,10,117.153053,39.168633
BV10040788,红旗地道,860路,11,117.150845,39.160902
BV10040949,西青道,860路,12,117.151283,39.151012
BV09265934,小西关,860路,13,117.149715,39.147738
BV11104851,华安北里,860路,14,117.150352,39.140087
BV11104852,盛达园,860路,15,117.156087,39.140563
BV11134106,桦林园,860路,16,117.159279,39.141483
BV10041544,瑞德里,860路,17,117.163322,39.139519
BV10041375,黄河道西南角,860路,18,117.168953,39.137466
BV09247246,西南角地铁站,860路,19,117.17437,39.137306
BV11211763,南门,860路,20,117.182253,39.13702
BV10041077,南市食品街,860路,21,117.185373,39.13418
BV10483865,蓉芳里,860路,22,117.186951,39.12862
BV10483864,万全道,860路,23,117.191569,39.127266
BV11430046,河北路滨江道,860路,24,117.20023,39.123251
BV11430220,营口道山东路,860路,25,117.203447,39.122463
BV10041848,保定道,860路,26,117.210058,39.121984
BV10041849,科学会堂,860路,27,117.211424,39.119332
BV11646076,徐州道地铁站,860路,28,117.218133,39.11609
BV10040803,大营门,860路,29,117.218704,39.113117
BV10040827,天津图书大厦,860路,30,117.221283,39.110218
BV11109958,福建路,860路,31,117.224792,39.106189
BV11114704,直沽地铁站,860路,32,117.234655,39.110154
BV10041962,大直沽五号路,860路,33,117.237664,39.109622
BV10041336,大直沽后台,860路,34,117.24236,39.11256
BV10040605,大桥道,860路,35,117.247391,39.110099
BV10040604,二宫,860路,36,117.256714,39.104488
BV11042121,中山门地铁站,860路,37,117.263298,39.101276
BV09053278,昆仑桥西,860路,38,117.266655,39.099644
BV11040906,一号桥地铁站,860路,39,117.281427,39.096043
BV09093065,变电所路,860路,40,117.287964,39.095715
BV11040904,二号桥地铁站,860路,41,117.293203,39.095074
BV10451797,怡然庭院,860路,42,117.301048,39.098412
BV10043939,嘉春园,860路,43,117.299225,39.110123
BV10892946,方山道公交站,860路,44,117.297015,39.110194
BV10044018,海泰南公交站,862路(临时),1,117.077972,39.073788
BV11541402,三安光电,862路(临时),2,117.084032,39.073516
BV10041307,华庄子,862路(临时),3,117.091172,39.07645
BV10041306,海泰发展基地,862路(临时),4,117.096806,39.079506
BV10041305,蓝天高科,862路(临时),5,117.092935,39.081829
BV10636418,华翼蓝天,862路(临时),6,117.091162,39.085256
BV10041303,宝德学院,862路(临时),7,117.092331,39.088806
BV10041871,城建大学,862路(临时),8,117.094747,39.088813
BV10041301,农学院,862路(临时),9,117.098662,39.088818
BV10041300,侯台村,862路(临时),10,117.117121,39.098529
BV11111170,新技术产业园区,862路(临时),11,117.12439,39.097569
BV10041629,王顶堤金冠里,862路(临时),12,117.142473,39.098721
BV10983829,天津图书馆,862路(临时),13,117.157829,39.099529
BV10041354,周邓纪念馆,862路(临时),14,117.164282,39.09558
BV11266052,复康路八里台,862路(临时),15,117.173432,39.100436
BV10040762,医科大学,862路(临时),16,117.186108,39.10672
BV10040428,何兴村,862路(临时),17,117.187723,39.11054
BV10040429,沙市道,862路(临时),18,117.18964,39.108472
BV10040430,规划里,862路(临时),19,117.192507,39.105585
BV10040389,西康路,862路(临时),20,117.198053,39.103321
BV10040391,昆明路,862路(临时),21,117.199486,39.104359
BV10040392,湛江路,862路(临时),22,117.202861,39.106953
BV10040393,外国语大学,862路(临时),23,117.206917,39.109194
BV11430081,马场道香港路,862路(临时),24,117.211282,39.111395
BV10040404,合肥道,862路(临时),25,117.216522,39.112755
BV10040395,凯旋门站,862路(临时),26,117.218859,39.113841
BV11624710,长城公寓,862路(临时),27,117.231927,39.121081
BV10040663,十四经路,862路(临时),28,117.235168,39.120655
BV10040614,十五经路,862路(临时),29,117.238213,39.117455
BV11430236,津塘路地铁站,862路(临时),30,117.242381,39.117271
BV10040748,泰兴南路,862路(临时),31,117.253678,39.123015
BV11646079,泰昌路地铁站,862路(临时),32,117.256707,39.122052
BV10403597,第六大道公交站,862路(临时),33,117.261671,39.117282
BV10403348,东姜井公交站,863路,1,117.111069,39.124729
BV09062540,福姜路闵行路,863路,2,117.104788,39.12302
BV09025942,福姜路芥园西道,863路,3,117.104776,39.126616
BV10041593,东姜井,863路,4,117.107407,39.130714
BV10041366,李家园,863路,5,117.114939,39.136944
BV11027444,津华西大街,863路,6,117.119431,39.140636
BV10042081,华智里,863路,7,117.122086,39.140892
BV10040817,昔阳里,863路,8,117.126328,39.132301
BV10041536,田川里,863路,9,117.126326,39.128432
BV10042064,莲安里,863路,10,117.124801,39.125959
BV10041535,川府新村,863路,11,117.126623,39.124408
BV10042063,川南里,863路,12,117.128572,39.123312
BV10041534,资阳路,863路,13,117.131419,39.122545
BV10041533,雅安西里,863路,14,117.136297,39.122416
BV10896751,嘉陵南里,863路,15,117.138756,39.125084
BV09196114,咸阳路长江道,863路,16,117.138766,39.129042
BV10040813,长江公寓,863路,17,117.142752,39.130521
BV10040812,公交三公司,863路,18,117.147687,39.130512
BV10040811,凯立家园,863路,19,117.158295,39.129318
BV10041660,西市大街,863路,20,117.161546,39.130106
BV10041972,广开四马路,863路,21,117.163681,39.132488
BV09196113,南开公园,863路,22,117.168744,39.13142
BV10041970,南开五马路,863路,23,117.171074,39.130836
BV11427260,翔宇公园,863路,24,117.17424,39.132645
